Oxysoft export of:	C:\Users\NIRS\Desktop\colm1222
Export date:	2016/11/23 17:17:46
Start of measurement:	2016-11-23 17:13:14.284

Datafile sample rate:	10.00	Hz
Datafile duration:	228.00	s
Datafile total number of samples:	2280

Description:	

Optode-template:	3 x 1 channel (split) I
Optode distance (mm):	 10.00	10.00	10.00
Optode gradients (mm):	 -	-	-
DPF:	4.00	4.00	4.00

Device id:	10221
# Receivers:	2
# Light sources:	8
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	762	nm
1	3	847	nm
1	4	761	nm
1	5	847	nm
1	6	761	nm
1	7	847	nm
1	8	761	nm

Export sample rate:	10.00	Hz
No time span selected, exporting full time span



Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1 - Tx1 O2Hb (colm1222)
3	Rx1 - Tx1 HHb (colm1222)
4	Rx2a - Tx2 O2Hb (colm1222)
5	Rx2a - Tx2 HHb (colm1222)
6	Rx2b - Tx3 O2Hb (colm1222)
7	Rx2b - Tx3 HHb (colm1222)
8	(Event)


1	2	3	4	5	6	7	8
   205	 0.0038	 0.0739	-0.0004	 0.0002	 5.2793	 1.4618	 
   206	-0.2943	 0.1104	-0.0004	 0.0002	 1.5788	 0.1670	 
   207	-0.3718	 0.0640	-5.4015	-6.7016	 1.3206	 0.2248	 
   208	-0.1860	 0.0320	-0.0004	 0.0002	 3.0332	 0.7544	 
   209	-0.2982	 0.0364	-0.0004	 0.0002	 1.2733	 0.0549	 
   210	-0.4880	-0.0056	-13.3852	 4.9426	-0.2457	-0.3588	 
   211	-0.6390	-0.0243	-0.0004	 0.0002	-0.4092	-0.5983	 
   212	-0.7164	-0.0707	-0.0004	 0.0002	-0.3361	-0.6253	 
   213	-0.8287	-0.0663	-0.0004	 0.0002	-0.8696	-0.8031	 
   214	-0.4144	-0.0332	 7.9832	-11.6440	 1.7810	 0.4296	 
   215	 0.1896	 0.0419	-0.0004	 0.0002	 3.6442	 0.9786	 
   216	 0.0425	 0.0971	-0.0004	 0.0002	 1.2044	 0.1553	 
   217	 0.0386	 0.0231	-0.0004	 0.0002	 1.6261	 0.3369	 
   218	 0.1161	 0.0695	-13.3852	 4.9426	-620.4083	908.8541	 
   219	 0.0038	 0.0739	-0.0004	 0.0002	-623.0413	909.8264	 
   220	-0.1860	 0.0320	-0.0004	 0.0002	-489.9310	713.8515	 
   221	-0.3757	-0.0100	-0.0004	 0.0002	-490.5893	714.0945	 
   222	-0.3796	-0.0840	-0.0004	 0.0002	-492.7104	714.8778	 
   223	-0.5654	-0.0519	-0.0004	 0.0002	-3.3611	-1.8698	 
   224	-0.0776	-0.0464	-0.0004	 0.0002	-0.0133	-0.2197	 
   225	 0.4916	 0.0794	-0.0004	 0.0002	 2.6417	 1.0864	 
   226	 0.3406	 0.0607	-0.0004	 0.0002	 0.5074	 0.3751	 
   227	 0.3019	 0.0375	-0.0004	 0.0002	 1.0023	 0.5298	 
   228	 0.4916	 0.0794	-13.3852	 4.9426	 2.1770	 0.8082	 
   229	 0.3406	 0.0607	-0.0004	 0.0002	 0.9162	 0.3367	 
   230	 0.0773	 0.0463	-0.0004	 0.0002	-0.0692	 0.1008	 
   231	-0.0001	-0.0001	-0.0004	 0.0002	-0.0004	 0.0004	 
   232	-0.1163	-0.0696	-0.0004	 0.0002	-0.1209	-0.1425	 
   233	-0.2325	-0.1392	-0.0004	 0.0002	-0.8437	-0.3629	 
   234	-0.1550	-0.0928	-13.3852	 4.9426	-0.3360	 0.0119	 
   235	 0.6000	 0.0010	-0.0004	 0.0002	 3.6787	 1.5656	 
